Fecha,Dataset,Notes,lr,units,# layers,dropout,epochs,tiempoPromedio,auc1,auc2,auc3,aucTrain1,aucTrain2,aucTrain3,aucMean,aucTrainMean
2018-03-27 09:08:57,england-vs-all,,0.5,32,1,0.8,300,1448.956716,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-28 02:28:30,england-vs-all,,0.001,64,1,0.4,50,3438.4803799999995,0.5,0.545175,0.5,0.5,0.746646,0.5,0.5150583333333333,0.5822153333333334
2018-03-28 02:28:30,england-vs-all,,0.001,64,1,0.4,100,3445.4668950000005,0.5,0.563125,0.5,0.5,0.864032,0.5,0.5210416666666666,0.621344
2018-03-28 02:28:30,england-vs-all,,0.001,64,1,0.4,150,3446.716587,0.5,0.529544,0.5,0.5,0.8676590000000001,0.5,0.509848,0.622553
2018-03-28 02:28:30,england-vs-all,,0.001,64,1,0.4,200,3445.903232,0.5,0.546014,0.5,0.5,0.889426,0.5,0.515338,0.6298086666666667
2018-03-28 02:28:30,england-vs-all,,0.001,64,1,0.4,250,3451.259867,0.5,0.549767,0.5,0.5,0.8995280000000001,0.5,0.5165890000000001,0.6331760000000001
2018-03-28 02:28:30,england-vs-all,,0.001,64,1,0.4,300,3444.201049,0.5,0.5420550000000001,0.5,0.5,0.905052,0.5,0.5140183333333334,0.6350173333333333
2018-03-28 13:58:04,england-vs-all,,0.0001,16,1,0.1,50,743.017674,0.725691,0.733175,0.7295729999999999,0.8581110000000001,0.854535,0.850261,0.7294796666666666,0.8543023333333334
2018-03-28 13:58:04,england-vs-all,,0.0001,16,1,0.1,100,737.510473,0.725291,0.734528,0.733017,0.876807,0.875141,0.8685790000000001,0.7309453333333332,0.873509
2018-03-28 13:58:04,england-vs-all,,0.0001,16,1,0.1,150,730.515663,0.7229909999999999,0.736395,0.730567,0.889387,0.8866639999999999,0.876418,0.7299843333333333,0.8841563333333333
2018-03-28 13:58:04,england-vs-all,,0.0001,16,1,0.1,200,731.870188,0.726852,0.735178,0.732797,0.8942690000000001,0.8921889999999999,0.8833719999999999,0.7316090000000001,0.8899433333333334
2018-03-28 13:58:04,england-vs-all,,0.0001,16,1,0.1,250,745.099062,0.723819,0.738345,0.729989,0.8986540000000001,0.897834,0.890868,0.7307176666666667,0.8957853333333334
2018-03-28 13:58:04,england-vs-all,,0.0001,16,1,0.1,300,743.5891519999999,0.726607,0.736865,0.730693,0.903399,0.899942,0.893489,0.7313883333333333,0.8989433333333334
2018-03-28 19:54:05,england-vs-all,,0.0001,16,1,0.1,50,752.336676,0.718422,0.729223,0.710537,0.843517,0.854234,0.8345540000000001,0.719394,0.8441016666666666
2018-03-28 19:54:05,england-vs-all,,0.0001,16,1,0.1,100,750.175351,0.720975,0.729057,0.7248859999999999,0.8678819999999999,0.873088,0.8590459999999999,0.7249726666666666,0.8666719999999999
2018-03-28 19:54:05,england-vs-all,,0.0001,16,1,0.1,150,749.132923,0.7216600000000001,0.727693,0.7290439999999999,0.879484,0.883689,0.8736450000000001,0.7261323333333333,0.8789393333333334
2018-03-28 19:54:05,england-vs-all,,0.0001,16,1,0.1,200,747.63641,0.726776,0.72875,0.731338,0.88561,0.8905350000000001,0.879726,0.7289546666666666,0.8852903333333334
2018-03-28 19:54:05,england-vs-all,,0.0001,16,1,0.1,250,747.324064,0.726666,0.727251,0.731417,0.892107,0.8959540000000001,0.883965,0.7284446666666667,0.8906753333333334
2018-03-28 19:54:05,england-vs-all,,0.0001,16,1,0.1,300,747.4966019999998,0.72702,0.728799,0.730903,0.8950959999999999,0.8976559999999999,0.8874920000000001,0.7289073333333334,0.8934146666666666
